CZ Name,State,"AM, 80-82 Cohort","RM, College Attendance","RM, Teenage birth","RM, College Quality","Average of Percent of adults with less than a high school diploma, 2011-2015","Average of Percent of adults with a high school diploma only, 2011-2015","Average of Percent of adults completing some college or associate's degree, 2011-2015","Average of Percent of adults with a bachelor's degree or higher, 2011-2015",Average of Top 1% Income Share
Blytheville,AR,37.8,0.775,-0.371,0.171,24.56666667,37.66666667,25.56666667,12.23333333,0.076433333
Jonesboro,AR,41.1,0.774,-0.29,0.18,18.08333333,40.71666667,26.83333333,14.41666667,0.077071667
Roseau,MN,53.7,0.593,-0.197,0.184,8.35,41.05,33.35,17.25,0.123035
Duluth,MN,44.9,0.593,-0.237,0.188,6.075,33.825,35.9,24.175,0.0676375
West Cook UT,MN,,,,0,4.4,25.1,31.6,39,0
International Falls,MN,49,0.509,-0.127,0.154,10.6,36.5,34.5,18.4,0.12528
Moberly,MO,45.1,0.724,-0.263,0.179,11.45,44.45,30.025,14.1,0.0853025
Marshall,MO,44.8,0.796,-0.335,0.2,13.23333333,43.86666667,24.4,18.5,0.078133333
Brookfield,MO,48.6,0.661,-0.249,0.178,13.35,49.35,22.65,14.6,0.056705
Trenton,MO,45.6,0.824,-0.435,0.18,12.6,44.7,27.15,15.55,0.041065
Polk,MO,47.7,0.666,,0.207,14.25,44.5,25.8,15.5,0.03785
Centerville,IA,50,0.553,-0.237,0.17,10.33333333,41.56666667,32.56666667,15.46666667,0.081096667
Kirksville,MO,47.2,0.622,-0.224,0.184,15.45,40.6,25.85,18.1,0.033225
Bismarck,ND,54.6,0.597,-0.191,0.158,9.34,29.7,37.58,23.38,0.060518
East Grant UT,ND,,,,0,11.1,38.2,33.5,17.1,0
Linton,ND,63.5,0.384,,0.05,18.2,35.9,30.36666667,15.56666667,0
Steele,ND,,,,0,11.6,32.6,36.3,19.5,0
Devils Lake,ND,47.5,0.861,-0.294,0.204,11.33333333,31.16666667,38.6,18.93333333,0.038003333
Carrington,ND,59.4,0.42,,0.127,11.95,30.05,37.65,20.4,0
Turtle Mountain UT,ND,40.8,0.787,-0.16,0.173,12.7,27.5,40.5,19.3,0.035665
Minot,ND,56.2,0.54,-0.167,0.162,8.6,31.925,39.125,20.35,0.0531125
Rugby,ND,60,0.307,-0.098,0.077,14.76666667,34.6,33.9,16.73333333,0
Ekalaka,SD,,,,0,6.95,34.35,35.95,22.75,0
Baker,MT,,,,0,5.7,37.6,40.6,16.1,0
Bowman,ND,,,,0,11.1,31.2,33.85,23.9,0
Lemmon,ND,61.3,0.405,,0.122,8.6,36.6,35.2,19.6,0
Scobey,MT,,,,0,6.2,31.2,40.4,22.2,0
Wolf Point,MT,43.6,0.798,-0.234,0.129,11.7,42.35,30.55,15.5,0.02784
Plentywood,MT,,,,0,8.6,30.4,39.7,21.3,0
Glasgow,MT,51.1,0.557,-0.109,0.134,7.95,37.55,35.2,19.35,0.048865
Glendive,MT,57,0.433,-0.209,0.086,10.3,32.33333333,36.86666667,20.5,0.01587
Dickinson,ND,64,0.412,-0.022,0.123,9.766666667,32.93333333,34.23333333,23.03333333,0.02769
Sidney,ND,55.6,0.668,-0.123,0.174,7.966666667,32.2,39.4,20.43333333,0.039846667
Williston,ND,61.4,0.502,-0.237,0.155,10.9,31.2,37.5,20.4,0.02447
Brookings,SD,53.8,0.514,-0.197,0.146,7.766666667,32.43333333,30.36666667,29.4,0.078436667
Madison,SD,54.3,0.616,-0.235,0.167,7.8,35.55,28.9,27.7,0.05307
Sioux Falls,SD,49.4,0.674,-0.207,0.17,7.02,29.68,31.34,31.94,0.08341
Watertown,SD,54.8,0.499,-0.197,0.137,9.425,40.275,29.775,20.5,0.03799
Milbank,MN,56.1,0.591,-0.201,0.157,9.4,40.5,32.56666667,17.5,0.04439
Sisseton,SD,48.6,0.721,-0.333,0.173,12.03333333,36.03333333,33.23333333,18.7,0.031046667
East Corson UT,SD,33.4,0.563,,0.065,16.9,33.1,33.4,16.7,0
Mobridge,SD,51.7,0.729,,0.167,10.75,39.45,28.1,21.75,0.024855
Aberdeen,SD,54.7,0.547,-0.128,0.169,11.52,33.62,32.24,22.64,0.039896
Bemidji,MN,44.9,0.734,-0.301,0.198,10.58,33.32,35.78,20.36,0.097418
Grafton,ND,56.7,0.466,-0.164,0.143,11.1,34.3,35.9,18.7,0.0717425
Thief River Falls,MN,54.9,0.532,-0.185,0.17,9.433333333,38.1,35.73333333,16.73333333,0.077173333
Grand Forks,ND,50.8,0.576,-0.21,0.194,7.825,27.975,38.65,25.575,0.0616425
Fargo,ND,50.4,0.609,-0.178,0.185,7.94,29.08,38.4,24.58,0.096264
Lisbon,ND,59.8,0.528,-0.157,0.148,10.6,32.63333333,35.26666667,21.5,0.03046
Jamestown,ND,56.5,0.592,-0.138,0.151,10.8,32.83333333,32.93333333,23.36666667,0.048346667
Cooperstown,ND,,,,0,11.7,37.6,32.4,18.3,0
Fergus Falls,MN,52.8,0.526,-0.162,0.165,7.26,31.02,38.02,23.72,0.08433
Little Falls,MN,52,0.496,-0.147,0.159,11.26666667,38.33333333,35.43333333,14.96666667,0.072573333
O'Neill,NE,57.4,0.549,-0.085,0.114,6.466666667,39.2,35.23333333,19.13333333,0.02252
Ord,NE,57.8,0.402,-0.216,0.114,6.05,40.85,36.025,17.1,0
Ainsworth,NE,56.5,0.442,,0.137,8.966666667,41.73333333,32.66666667,16.6,0
Winner,SD,52.3,0.74,-0.224,0.185,13.25,36.65,30.4,19.65,0.069795
Yankton,SD,57.6,0.555,-0.095,0.153,9.05,37.65,32.8,20.5,0.053205
Mitchell,SD,52.3,0.622,-0.186,0.135,8.925,34.3,34.625,22.15,0.038835
Huron,SD,52.1,0.687,-0.206,0.182,13.65,37.1,31.4,17.85,0.04357
Parkston,SD,51.1,0.631,-0.158,0.144,12.7,37.3,28.6,21.43333333,0.060143333
Chamberlain,SD,41,0.711,-0.162,0.181,14.83333333,36.76666667,30.73333333,17.66666667,0.023323333
Miller,SD,,,,0,9.65,40.6,30.5,19.3,0
Pierre,SD,46.7,0.737,-0.141,0.198,9.333333333,32.5,30.3,27.86666667,0.02731
Gettysburg,SD,,,,0,9.8,40.7,29,20.5,0
Willmar,MN,51.9,0.535,-0.196,0.157,10.08,35.52,36.76,17.62,0.074596
Marshall,MN,55.3,0.417,-0.115,0.142,9.925,37.525,31.45,21.1,0.0810925
Sioux Center,IA,58.3,0.48,-0.15,0.125,9.433333333,35.56666667,33.33333333,21.7,0.09458
Worthington,MN,54.3,0.509,-0.171,0.158,13.06,35.88,33.76,17.32,0.065182
Spencer,IA,53.9,0.374,-0.156,0.15,6.3,33.85,38.4,21.45,0.114775
Fairmont,MN,52,0.552,-0.191,0.16,10.46666667,37.7,34.46666667,17.33333333,0.065303333
Storm Lake,IA,54.8,0.582,-0.155,0.176,11.725,36.5,32.575,19.175,0.082805
Fort Dodge,IA,49.7,0.635,-0.248,0.189,8.633333333,36.03333333,37.13333333,18.18333333,0.071853333
Des Moines,IA,45.3,0.662,-0.29,0.2,6.1875,31.9375,32.4,29.4875,0.1002275
Creston,IA,48.5,0.625,-0.272,0.174,10.45,39.675,32.625,17.3,0.0514225
Atlantic,IA,53.2,0.611,-0.203,0.184,8.833333333,41.13333333,31.56666667,18.5,0.08036
Carroll,IA,55.5,0.509,-0.115,0.17,12.86666667,37.36666667,32.4,17.4,0.062793333
Rapid City,SD,45.7,0.666,-0.242,0.169,7.75,31.85,35.76666667,24.6,0.079768333
Eagle Butte,SD,35.2,0.713,,0.126,14.85,37.9,33.3,13.95,0.023675
Southwest Jackson UT,SD,46.1,0.84,,0.175,10.85,34.9,34.3,19.95,0
Murdo,SD,,,,0,7.6,38.8,37,16.6,0
Mission,SD,26.7,0.625,-0.24,0.141,19.25,30.45,35.45,14.85,0.035055
Scottsbluff,NE,49.7,0.539,-0.234,0.167,8.85,31.31666667,37.76666667,22.06666667,0.046441667
Cheyenne,WY,46.1,0.659,-0.225,0.165,8.366666667,29.13333333,39.56666667,22.86666667,0.058823333
Torrington,WY,50.9,0.466,-0.228,0.14,8.4,30.35,38.95,22.25,0.053425
Gordon,SD,34.8,0.686,-0.247,0.143,15.1,29.95,33.95,21,0.040625
Virginia Beach,NE,52.2,0.641,-0.275,0.163,8.75,33.35,38.725,19.175,0.075545
Columbus,NE,55.7,0.492,-0.159,0.144,13.34,36.9,33.42,16.36,0.061816
Hastings,NE,51.5,0.501,-0.152,0.162,9.8,33.56666667,36.06666667,20.6,0.066693333
York,NE,54.9,0.507,-0.061,0.136,6.533333333,34.73333333,37.36666667,21.4,0.051006667
Grand Island,NE,50.3,0.564,-0.253,0.164,9.825,35.1,35.225,19.875,0.074665
Sioux City,IA,48.6,0.667,-0.246,0.169,11.91428571,33.87142857,32.1,22.12857143,0.1014
West Point,NE,46.5,0.794,-0.29,0.169,11.5,37.86666667,34.06666667,16.56666667,0.06652
Lincoln,NE,45.5,0.615,-0.278,0.171,10.08,32.8,35.04,22.08,0.070362
Nebraska City,NE,52.6,0.511,-0.17,0.126,8.38,39.66,31.74,20.2,0.035426
Red Oak,IA,51,0.705,-0.172,0.175,9.42,37.96,35.38,17.2,0.050984
Omaha,NE,43.1,0.705,-0.3,0.189,7.811111111,31.81111111,34.43333333,25.93333333,0.123746667
Sterling,CO,51.8,0.523,-0.321,0.142,11.425,31.8,38.05,18.7,0.04648
Ogallala,NE,53.5,0.542,-0.225,0.184,9.225,34.25,36.425,20.15,0.0306525
Oshkosh,NE,,,,0,5.9,32.5,38.1,23.5,0
Valentine,NE,52.3,0.415,,0.13,5.475,32.875,37.7,23.975,0.0222025
Broken Bow,NE,55.5,0.339,-0.211,0.121,5.333333333,34.83333333,37.56666667,22.26666667,0.022506667
North Platte,NE,48.3,0.421,-0.273,0.123,7.333333333,29.5,41,22.16666667,0.02612
Colorado Springs,CO,41.8,0.631,-0.281,0.157,8.225,25.925,36.225,29.6,0.0911725
Limon,CO,,,,0,20.3,42.2,22.4,15.1,0
Springfield,CO,,,,0,12.8,31.6,36.6,19,0
Pueblo,CO,40.9,0.603,-0.37,0.148,17.24,33.86,35.1,13.76,0.056474
Trinidad,CO,44.8,0.419,-0.388,0.117,13.65,27.65,36.65,22.05,0.07724
Burlington,CO,55.8,0.304,-0.138,0.097,11.5,35.46666667,34.36666667,18.7,0.030116667
Oberlin,KS,54.8,0.391,,0.106,8.7,34.2,31.25,25.8,0
Norton,KS,51.3,0.55,,0.188,13.7,34.6,34.3,17.4,0.05438
Phillipsburg,KS,53.4,0.417,,0.143,8.55,35.3,36.3,19.85,0.04064
Colby,KS,56.4,0.419,-0.169,0.136,7.475,33.975,36.15,22.375,0.0141025
Goodland,KS,50.7,0.596,,0.151,9.6,33.1,37.65,19.65,0.04415
Wano,KS,,,,0,6.9,32,40.1,20.95,0
McCook,NE,52.4,0.458,-0.219,0.123,8.85,33.425,40.075,17.675,0.014735
Kearney,NE,52.8,0.468,-0.212,0.156,7.7,34.375,35.375,22.55,0.0453625
Lexington,NE,51.4,0.491,-0.21,0.151,10.5,34.53333333,36.83333333,18.11666667,0.030363333
Salida,CO,48.1,0.568,-0.106,0.126,8.9,26.7,30.3,34.1,0.04764
Glenwood Springs,CO,47.5,0.51,-0.257,0.14,8.62,21.64,27.42,42.34,0.208766
Granby,CO,42.7,0.576,,0.163,5.5,25.5,32.5,36.4,0.0812
Laramie,WY,49.2,0.565,-0.237,0.174,7.95,29.25,29.1,33.7,0.11701
Fort Collins,CO,45.2,0.633,-0.321,0.152,12.6,26.03333333,33,28.43333333,0.088906667
Denver,CO,42.2,0.635,-0.303,0.157,6.96,21.27,32,39.78,0.102138
Pratt,KS,52.1,0.664,-0.124,0.137,9.1,30,36.43333333,24.46666667,0.042206667
Coldwater,KS,,,,0,8.3,28.4,39.3,24,0
Dodge City,KS,47.5,0.688,-0.291,0.146,17.475,25.15,34.775,22.6,0.0414525
Great Bend,KS,50.5,0.615,-0.226,0.171,12.92,30.86,36.02,20.16,0.020698
Hutchinson,KS,45.4,0.708,-0.244,0.166,11.43333333,30.43333333,37.26666667,20.86666667,0.07263
Hays,KS,53.2,0.51,-0.148,0.166,7.633333333,31.23333333,34,27.1,0.052603333
Township 11,KS,50.2,0.545,,0.202,7.4,34.75,33.6,24.25,0.048235
Center,KS,52.8,0.543,,0.182,8.1,32.8,38.5,20.6,0
Concordia,KS,52.8,0.687,-0.151,0.193,7.6,36.23333333,38.56666667,17.63333333,0.06513
Superior,NE,59.5,0.377,-0.074,0.121,7.4,39.55,34.75,18.3,0.133565
Beloit,KS,55.5,0.643,,0.181,7.4,35.15,34.35,23.15,0.023805
Salina,KS,43.9,0.737,-0.318,0.197,7.666666667,32.9,37.73333333,21.7,0.05206
Hiawatha,KS,56.6,0.537,-0.242,0.169,8.35,40.85,29.55,21.2,0.07884
Marysville,KS,57.6,0.452,-0.063,0.124,7.85,41.4,33.9,16.8,0.087475
Manhattan,KS,44,0.701,-0.268,0.197,7.05,30.63333333,35.85,26.46666667,0.074246667
Topeka,KS,42.2,0.747,-0.272,0.187,6.95,35.3,31.31666667,26.46666667,0.060666667
Wichita,KS,41.4,0.647,-0.315,0.162,9.42,32.18,34.88,23.5,0.076938
Newton,KS,48.1,0.65,-0.229,0.152,10.16666667,31.7,32.63333333,25.5,0.067
Winfield,KS,45.1,0.635,-0.282,0.154,11.2,35.5,35.6,17.65,0.0751775
Ottawa,KS,44.9,0.63,-0.255,0.17,9.025,36.85,36.175,17.975,0.0501725
Emporia,KS,46.1,0.727,-0.323,0.186,9.7,34.56666667,32.06666667,23.63333333,0.03761
Bartlesville,KS,43.6,0.782,-0.275,0.206,11.68333333,35.25,34.68333333,18.43333333,0.067723333
Leavenworth,KS,42.5,0.726,-0.283,0.187,7.95,35.95,31.7,24.45,0.08429
Kansas City,MO,40.1,0.697,-0.339,0.194,10.04166667,33.05833333,31.60833333,25.3,0.0852575
St. Joseph,MO,43.3,0.682,-0.259,0.172,11.85714286,41.15714286,29.6,17.37142857,0.069442857
Sedalia,MO,43.2,0.753,-0.292,0.18,15.75,41,29.45,13.75,0.0744775
Polk,MO,50.6,0.743,-0.146,0.19,9.5,42.56666667,26.03333333,21.93333333,0.06989
Bethany,MO,48.5,0.692,-0.274,0.167,13.16666667,44.8,25.93333333,16.13333333,0.045163333
Columbia,MO,42.8,0.754,-0.292,0.202,11.67142857,36.74285714,26.04285714,25.51428571,0.100727143
Eldon,MO,42.3,0.757,-0.252,0.189,15.63333333,39.93333333,27.46666667,16.93333333,0.071116667
Springfield,MO,41.9,0.786,-0.271,0.199,15.81111111,38.38888889,29.08888889,16.73333333,0.081747778
Aurora,MO,42.6,0.727,-0.295,0.163,15.375,38.9,29.325,16.35,0.0939625
Joplin,MO,43.1,0.729,-0.306,0.178,12.95,33.18333333,33.43333333,20.43333333,0.1063
Center,MO,44.2,0.755,-0.311,0.197,14.025,41.05,29.275,15.65,0.0709
Russellville,AR,42.7,0.75,-0.312,0.173,19.52,39.8,25.58,15.1,0.10455
Fort Smith,AR,42.6,0.769,-0.371,0.182,18.025,37.375,30.3,14.2875,0.081005
Muskogee,OK,41,0.733,-0.266,0.177,16.9,36.875,28.625,17.6,0.0958175
Fayetteville,AR,43,0.765,-0.298,0.187,17.76,35.22,26.92,20.12,0.118768
Stillwater,OK,45.8,0.781,-0.261,0.227,10,31.4,28.8,29.8,0.071995
Tulsa,OK,41.6,0.721,-0.322,0.197,12.57777778,36.68888889,31.64444444,19.08888889,0.081482222
Okmulgee,OK,42.1,0.636,-0.276,0.172,16.55,37.15,32.65,13.65,0.08055
Woodward,OK,53.3,0.681,-0.272,0.158,13.93333333,38.56666667,27.23333333,20.26666667,0.027983333
Enid,OK,50,0.725,-0.273,0.2,11.95714286,38.37142857,28.61428571,21.05714286,0.043157143
El Paso,TX,43.7,0.616,-0.334,0.17,31.56666667,23.66666667,25.63333333,19.06666667,0.081886667
Alamogordo,NM,42.2,0.561,-0.262,0.138,14.35,28.05,35.2,22.4,0.09181
Truth or Consequences,NM,40.8,0.744,,0.072,16.9,33.7,31.8,17.6,0.05967
Deming,NM,41.5,0.619,-0.334,0.124,23.4,29.83333333,29.23333333,17.5,0.08372
Van Horn,TX,,,,0,37.9,32.9,19.3,9.9,0
Roswell,NM,43.9,0.661,-0.348,0.166,19.35,30.5,32.2,17.95,0.10556
Santa Rosa,NM,44.8,0.543,,0.195,20.95,41.55,25.9,11.6,0
Hobbs,NM,49.1,0.715,-0.341,0.183,31.85,29.4,25.675,13.075,0.0960225
Lubbock,TX,41.4,0.856,-0.469,0.238,27.48333333,28.7,28.31666667,15.5,0.063918333
Clovis,NM,43.7,0.701,-0.439,0.177,23.26666667,26.96666667,30.03333333,19.73333333,0.09745
Littlefield,TX,46.7,0.854,-0.399,0.234,29.26666667,32,26.23333333,12.43333333,0.102006667
Amarillo,TX,42.8,0.803,-0.4,0.214,17.12,24.92,35.76,22.18,0.08119
Pampa,TX,50.6,0.702,-0.311,0.188,13.3,29.72,35.1,21.86,0.041
Wellington,TX,51.1,0.793,,0.226,20,32,32.05,16.05,0
Memphis,TX,47.8,0.834,,0.173,22.4,29,32,16.56666667,0
Matador,TX,,,,0,16.1,31.8,34.9,17.2,0
Plainview,TX,44.5,0.907,-0.48,0.223,25.2,32.1,26.96666667,15.73333333,0.07572
Garden City,KS,46.5,0.678,-0.335,0.175,25,25.55,32.75,16.7,0.023305
Ulysses,KS,48.9,0.718,-0.407,0.155,20.96666667,30.63333333,29.8,18.6,0.035296667
Scott City,KS,53.9,0.515,,0.146,16.4,31.1,31.8,20.7,0.021236667
Liberal,KS,49,0.661,-0.282,0.166,22.53333333,31.2,28.2,18.03333333,0.046166667
Perryton,TX,56.1,0.678,-0.222,0.185,22.43333333,32.03333333,27.8,17.73333333,0.061296667
Guymon,OK,50.4,0.665,-0.4,0.159,21.75,31.275,28.8,18.175,0.018605
Dumas,TX,47.8,0.805,-0.308,0.202,27.16666667,31.23333333,26.73333333,14.8,0.04058
Victoria,TX,45.8,0.832,-0.418,0.222,17.96666667,35.93333333,30.08333333,16.01666667,0.11693
La Grange,TX,48.8,0.711,-0.349,0.226,18.9,37.85,26.15,17.1,0.199995
Gonzales,TX,43.7,0.838,-0.41,0.254,27.9,33.7,24.6,13.8,0.13004
Austin,TX,40.4,0.751,-0.369,0.215,14.7,29.1125,29.075,27.125,0.10924625
Burnet,TX,43.2,0.675,-0.301,0.201,13.55,29.55,31.7,25.15,0.099165
San Antonio,TX,41.1,0.722,-0.378,0.212,16.27,29.84,30.86,23.01,0.086431
Beeville,TX,45.5,0.849,-0.413,0.215,26.85,34.7,27.15,11.35,0.154545
Kerrville,TX,44.7,0.763,-0.329,0.22,12.85,27.2,29.25,30.75,0.11146
Mason,TX,,,,0,15,34.7,27.9,22.4,0
Midland,TX,50.7,0.76,-0.399,0.211,23.46666667,31.86666667,29.31666667,15.38333333,0.054018333
Pecos,TX,53.4,0.739,-0.325,0.215,28.325,35.975,26.925,8.8,0.0826725
Fort Stockton,TX,52.1,0.745,-0.275,0.221,29.75,31.2,27.35,11.7,0.05231
Alpine,TX,51.9,0.598,-0.155,0.159,24.56666667,19.93333333,21.6,33.86666667,0.043886667
Crystal City,TX,45,0.647,-0.466,0.181,35.8,28.4,25.35,10.45,0.10471
Pearsall,TX,45.3,0.805,-0.46,0.221,36.5,33.25,18.8,11.45,0.0814
Laredo,TX,44.9,0.716,-0.321,0.213,36.7,26.86666667,23.7,12.76666667,0.11432
Brownsville,TX,44.1,0.643,-0.337,0.193,40.975,26.225,20.15,12.625,0.126
Corpus Christi,TX,44.1,0.838,-0.371,0.228,25,31.84444444,28.07777778,15.08888889,0.110731111
College Station,TX,41.7,0.767,-0.411,0.238,19.55,32.55,27.5,20.45,0.0905775
Pearland,TX,45.5,0.709,-0.329,0.198,20.06666667,31.56666667,29.06666667,19.33333333,0.078876667
Houston,TX,42.8,0.71,-0.32,0.202,17.17,29.74,29.6,23.49,0.11103
Beaumont,TX,43.3,0.681,-0.305,0.184,15.17142857,40.72857143,31.54285714,12.55714286,0.086865714
Huntsville,TX,41.6,0.756,-0.376,0.211,19.32,36.68,29.94,14.06,0.104808
Nacogdoches,TX,43.4,0.74,-0.328,0.215,18.925,37.875,27.55,15.675,0.10936
San Angelo,TX,43.7,0.814,-0.423,0.212,17.02,30.88,32.26,19.84,0.023548
Brady,TX,48,0.912,-0.369,0.266,26.53333333,33.4,25.13333333,14.9,0.092606667
Junction,TX,41,0.822,,0.264,19.85,32.85,30.05,17.25,0
Uvalde,TX,45.9,0.72,-0.411,0.206,23.625,27.2,28.525,20.65,0.03006
Del Rio,TX,47.7,0.729,-0.369,0.174,28.93333333,30.16666667,25.33333333,15.6,0.024263333
Eagle Pass,TX,46.5,0.8,-0.357,0.2,40.9,22.4,25.9,10.7,0.09534
Big Spring,TX,47.9,0.763,-0.511,0.191,21.56,32.1,28.2,18.16,0.041054
Sweetwater,TX,47.2,0.792,-0.512,0.208,19.1,34.1,32.6,14.2,0.039565
Snyder,TX,50.1,0.839,-0.425,0.212,22.06666667,30.06666667,30.83333333,17.03333333,0.047053333
Abilene,TX,45.1,0.768,-0.42,0.215,17.06666667,35.26666667,30.21666667,17.45,0.064321667
Childress,TX,44.5,0.755,,0.168,18.9,35.5,29.65,15.95,0.02554
Haskell,TX,49.2,0.73,-0.561,0.195,22.08,34.98,26.4,16.56,0.012
Wichita Falls,TX,43.9,0.754,-0.371,0.208,12.1,36.13333333,32.36666667,19.36666667,0.075203333
Graham,TX,50.5,0.722,-0.343,0.206,17.86666667,35.9,29.4,16.86666667,0.044403333
Seymour,TX,,,,0,11.6,31.7,30.8,25.8,0
Vernon,TX,43.2,0.795,-0.395,0.236,20.63333333,30.36666667,30.03333333,18.96666667,0.131093333
Brownwood,TX,45.2,0.729,-0.382,0.212,17.9,34.125,31.4,16.575,0.0472575
Stephenville,TX,47.9,0.726,-0.356,0.184,18.73333333,32.43333333,27.26666667,21.53333333,0.120243333
Waco,TX,40,0.702,-0.4,0.217,19.775,33.35,30.375,16.45,0.098525
Corsicana,TX,44.2,0.703,-0.384,0.204,19.175,34.075,32.05,14.75,0.0701325
Killeen,TX,40.5,0.71,-0.343,0.205,11.4,28.1,40.8,19.63333333,0.060636667
Fort Worth,TX,42.3,0.724,-0.341,0.199,15.5375,30.625,32.5625,21.3,0.12534875
Dallas,TX,40.4,0.692,-0.359,0.192,12.87142857,24.72857143,31.22857143,31.18571429,0.125718571
Paris,TX,41.4,0.714,-0.273,0.195,16.9,36.45,31.25,15.4,0.086711667
Tyler,TX,42.9,0.714,-0.335,0.2,18.25,33.38333333,31.46666667,16.91666667,0.100603333
Longview,TX,43.8,0.695,-0.336,0.205,17.06666667,33.1,34,15.81666667,0.087835
Texarkana,TX,40.9,0.697,-0.343,0.183,17.2125,36.75,31.2875,14.75,0.082785
Lawton,OK,44,0.718,-0.291,0.182,13.975,39.4,30.325,16.3,0.0658825
Altus,OK,45.6,0.675,-0.284,0.157,17.35,31.375,32.675,18.6,0.0366975
Frederick,OK,45.6,0.886,,0.211,23.5,35.8,24,16.7,0.05457
Ardmore,OK,46.2,0.75,-0.308,0.197,16.93333333,39.23333333,27.53333333,16.31666667,0.083888333
Elk City,OK,50.9,0.696,-0.281,0.169,13.225,38.8,26.75,21.225,0.0499025
Chickasha,OK,45.4,0.663,-0.299,0.189,14.3,39.45,29.5,16.7,0.074335
Oklahoma City,OK,42.2,0.717,-0.318,0.19,12.33333333,33.06666667,32.28888889,22.27777778,0.083278889
Ada,OK,45.5,0.773,-0.29,0.173,17.025,38.775,27.2,17.025,0.0672875
Sherman,TX,41.6,0.757,-0.362,0.183,15.43333333,33.53333333,31.83333333,19.26666667,0.073286667
Hot Springs,AR,40.1,0.687,-0.311,0.167,17.3625,36.925,29.8875,15.825,0.07328125
Idabel,OK,43.3,0.677,-0.295,0.154,20.72,38.96,28.4,11.94,0.06951
Sand Point,AK,,,,0,18.3,39.4,28.2,14,0
Anchorage,AK,45.5,0.625,-0.208,0.135,7.1,29.6,37.66666667,25.56666667,0.06736
Valdez,AK,45.9,0.592,,0.139,7.5,27.2,36.6,28.7,0.03202
Bristol Bay,AK,,,,0,8,30.7,41.3,20,0
Kotzebue,AK,31.3,0.392,,0.073,21.3,43.6,24.5,10.6,0.03179
Nome,AK,30.7,0.738,,0.125,15.4,41.3,29.2,14.1,0.06635
Dillingham,AK,41.3,0.557,,0.095,13.1,40.5,31.85,14.55,0
Kodiak,AK,45.7,0.626,-0.158,0.154,9.6,27.3,38.4,24.7,0.14251
Juneau,AK,43.3,0.635,-0.217,0.149,5.1,31.16666667,33.93333333,29.8,0.01387
Sitka,AK,41.2,0.607,-0.253,0.133,7.2,22.1,39.5,31.2,0.04899
Ketchikan,AK,41.5,0.652,-0.332,0.115,8.1,32.8,35.3,23.8,0.074685
Bethel,AK,32.9,0.614,-0.161,0.124,21,43.6,23.7,11.6,0.05727
Barrow,AK,31.2,0.566,,0.086,11.3,36.8,38,13.9,0.05017
Unalaska,AK,,,,0,16,37,32.2,14.7,0
Fairbanks,AK,45.6,0.619,-0.195,0.136,9.025,30.15,37.3,23.525,0.04434
Havre,MT,43,0.725,-0.26,0.128,13.8,26.16666667,38.3,21.7,0.031736667
Shelby,MT,40.4,0.752,-0.278,0.132,12.5,35.8,33.93333333,17.73333333,0.04387
Great Falls,MT,47.1,0.608,-0.244,0.144,7.4,34.575,32.55,25.5,0.04931
Lewistown,MT,50.3,0.503,-0.191,0.109,4.65,44.05,26.95,24.4,0.0312
Cody,WY,52.7,0.549,-0.198,0.139,9,29.9,37.1,24,0.072845
Worland,WY,50.4,0.699,-0.294,0.162,10.85,30.05,38.25,20.85,0.09197
Riverton,WY,46.4,0.613,-0.302,0.158,8.3,31.7,38.7,21.3,0.10233
Sheridan,WY,45.1,0.69,-0.226,0.17,8.433333333,32.73333333,35.43333333,23.43333333,0.143643333
Miles City,MT,51.2,0.531,-0.212,0.114,9.1,37.85,35.15,17.85,0.031645
Jordan,MT,,,,0,7.8,44.4,32.9,14.8,0
Colstrip,MT,44,0.681,-0.237,0.136,9.6,32.4,36.9,21.03333333,0.014233333
Billings,MT,48,0.623,-0.229,0.144,7.32,35.96,33.04,23.7,0.045078
Harlowton,MT,,,,0,14.9,38.05,26.4,20.65,0
Dillon,MT,51.2,0.531,,0.106,6.6,30.1,33,30.3,0.13733
Bozeman,MT,47.4,0.526,-0.168,0.136,5.225,31.775,29.325,33.65,0.05879
Helena,MT,45.6,0.704,-0.236,0.154,5.966666667,30.46666667,32.03333333,31.5,0.053513333
Butte-Silver Bow,MT,47.1,0.685,-0.26,0.178,10.1,36.65,31.575,21.625,0.04988
Bonners Ferry,ID,46.2,0.614,,0.134,11.5,36.8,35.7,16,0.10362
Libby,MT,47.7,0.627,-0.167,0.15,10.9,33.6,36.1,19.4,0.09077
Kalispell,MT,44.6,0.595,-0.226,0.14,8.833333333,34.4,33.43333333,23.3,0.10909
Missoula,MT,45.6,0.574,-0.206,0.128,7.8,32.8,33.33333333,26.06666667,0.055103333
Gillette,WY,55.5,0.492,-0.208,0.117,9.2,33.76666667,38.26666667,18.73333333,0.067236667
Rawlins,WY,49.4,0.696,-0.351,0.134,9.2,35.6,35.7,19.5,0.04303
Casper,WY,50.3,0.766,-0.308,0.177,8.75,32.75,38.85,19.7,0.11087
Lusk,WY,,,,0,9.5,28.1,41.1,21.3,0
Honolulu,HI,44.8,0.559,-0.179,0.154,9.1,26.4,31.8,32.7,0.09084
Kapaa,HI,43.6,0.631,-0.167,0.161,8.4,30,33.6,28,0.057
Kahului,HI,42.2,0.528,-0.202,0.151,10,30.35,29.3,30.35,0.04707
