CZ Name,State,"AM, 80-82 Cohort","RM, College Attendance","RM, Teenage birth","RM, College Quality","Average of Percent of adults with less than a high school diploma, 2011-2015","Average of Percent of adults with a high school diploma only, 2011-2015","Average of Percent of adults completing some college or associate's degree, 2011-2015","Average of Percent of adults with a bachelor's degree or higher, 2011-2015",Average of Top 1% Income Share
Bluefield,VA,44,0.794,-0.194,0.216,20.91666667,36.78333333,28.18333333,14.11666667,0.095561667
Welch,WV,44.6,0.624,-0.237,0.128,30.2,44.95,18.4,6.5,0.05633
Big Stone Gap,VA,43.6,0.921,-0.282,0.258,23.6,30.25,31.975,14.15,0.0668625
Fredericksburg,VA,41.9,0.752,-0.274,0.199,10.26,29.86,28.9,30.98,0.084436
Baltimore,MD,38.8,0.714,-0.347,0.207,9.183333333,25.81666667,26.46666667,38.51666667,0.13444
Colonial Beach,VA,39.6,0.787,-0.329,0.207,15.88,35.78,28.42,19.9,0.069904
Washington DC,DC,43.2,0.623,-0.266,0.186,9.889473684,21.67894737,24.17894737,44.26842105,0.120408947
Marquette,MI,45.1,0.683,-0.18,0.181,9.3,39.6,31.225,19.825,0.0690575
Marinette,MI,46.3,0.717,-0.227,0.199,8.66,41.78,31.92,17.66,0.048188
Sault Ste. Marie,MI,42.1,0.712,-0.165,0.199,11.43333333,39.76666667,32.2,16.6,0.058536667
Jackson,MI,40.2,0.697,-0.296,0.174,11.2,37.23333333,33.26666667,18.23333333,0.084193333
Detroit,MI,37.3,0.608,-0.288,0.18,9.5,30.92,33.75,25.81,0.105346
Lansing,MI,39.5,0.65,-0.278,0.196,7.1,26.4,35.9,30.53333333,0.091763333
Mount Pleasant,MI,41.8,0.737,-0.228,0.201,11.93333333,37.4,33,17.66666667,0.08679
Saginaw,MI,40.9,0.702,-0.27,0.19,11.78571429,38.38571429,32.25714286,17.57142857,0.070735714
Big Rapids,MI,41.5,0.687,-0.272,0.201,13.06,40.44,31.44,15.04,0.068332
Ludington,MI,42.2,0.761,-0.205,0.219,9.35,35.85,34.9,19.95,0.098615
Kalamazoo,MI,38,0.735,-0.341,0.203,9.775,32.35,34.4,23.475,0.0953075
Grand Rapids,MI,40.1,0.673,-0.34,0.174,11.7,35.05,32.8875,20.35,0.0872725
Traverse City,MI,41.7,0.693,-0.23,0.196,8.64,31.92,32.74,26.74,0.099156
Petoskey,MI,42.1,0.622,-0.203,0.187,8.333333333,32.46666667,32.76666667,26.4,0.187046667
Alpena,MI,42,0.7,-0.202,0.163,11.4,38.475,34.175,15.95,0.0772775
Grayling charter,MI,42,0.693,-0.261,0.178,13.03333333,39.05,33.88333333,14.03333333,0.099856667
Dayton,OH,38.3,0.796,-0.331,0.201,11.17777778,40.24444444,29.33333333,19.23333333,0.094964444
Washington Court House,OH,38.7,0.796,-0.346,0.18,14.03333333,43.46666667,28.43333333,14,0.08326
Wayne,IN,37.3,0.734,-0.315,0.18,15.86666667,41.33333333,27.53333333,15.26666667,0.076553333
Cincinnati,OH,37.9,0.811,-0.37,0.222,13.125,36.58333333,27.39166667,22.9,0.090156667
Maysville,KY,40.1,0.791,-0.294,0.188,20.45,40.7,25.4,13.425,0.0697
Washington,IN,43.5,0.734,-0.298,0.179,12.53333333,44.73333333,27.16666667,15.56666667,0.063958333
Lexington-Fayette,KY,36.9,0.777,-0.346,0.209,16.3,35.27692308,26.90769231,21.53076923,0.082487692
Mount Sterling,KY,39,0.815,-0.279,0.207,22.7,39.13333333,24.86666667,13.33333333,0.073926667
Danville,KY,39.7,0.813,-0.336,0.213,18.025,39.275,25.9,16.8,0.0651525
Elizabethtown,KY,42.4,0.739,-0.269,0.182,17.24,40.24,29.12,13.38,0.078628
Louisville,KY,37.9,0.756,-0.342,0.196,13.33636364,36.99090909,29.43636364,20.24545455,0.082124545
Madison,IN,40.8,0.728,-0.294,0.185,17.03333333,43.56666667,26.36666667,13.03333333,0.048996667
Bardstown,KY,44.1,0.683,-0.281,0.169,17,42.8,25.46666667,14.7,0.098486667
Owensboro,KY,43.3,0.772,-0.347,0.2,18.53333333,42.11666667,27.48333333,11.86666667,0.06486
Findlay,OH,44,0.741,-0.306,0.191,9.76,44.5,29.28,16.42,0.082104
Lima,OH,44.7,0.794,-0.363,0.201,8.46,44.84,29.58,17.14,0.08823
Toledo,OH,39.4,0.615,-0.318,0.17,9.05,37,32.45,21.48333333,0.085125
Defiance,OH,43.7,0.689,-0.294,0.155,10.46666667,46.56666667,28.56666667,14.43333333,0.121193333
South Bend,IN,39.2,0.708,-0.366,0.196,13.63333333,36.66666667,30.03333333,19.66666667,0.092391667
Concord,IN,42.2,0.767,-0.252,0.178,19.74,38.16,28.02,14.08,0.115588
Wayne,IN,42.9,0.714,-0.279,0.173,13.73333333,41.26666667,27.43333333,17.56666667,0.11184
Center,IN,40.4,0.702,-0.258,0.174,13.98,41.32,29.58,15.16,0.080566
Muncie,IN,38,0.723,-0.367,0.174,13.36666667,42.18333333,28.43333333,16,0.085896667
Fort Wayne,IN,40.6,0.725,-0.323,0.19,11.5625,41.0375,29.5125,17.8875,0.1020875
Indianapolis,IN,37.2,0.786,-0.361,0.197,9.47,33.81,28.24,28.48,0.099374
Columbus,IN,39.7,0.845,-0.395,0.218,13.825,43.1,26.3,16.75,0.1315375
Terre Haute,IN,42.3,0.757,-0.308,0.193,12.71428571,41.71428571,30,15.57142857,0.064838571
Lafayette,IN,43.1,0.72,-0.33,0.204,11.7,41.45,28.6,18.2125,0.05959625
Bloomington,IN,41.2,0.773,-0.279,0.195,15.8,39.54285714,27.47142857,17.17142857,0.097881429
Evansville,IN,43.6,0.752,-0.325,0.198,10.61111111,40.41111111,31.28888889,17.7,0.084382222
Olney,IL,47.3,0.543,-0.211,0.175,12.225,34.9,38,14.825,0.07322
Vincennes,IN,45,0.731,-0.277,0.209,17.45,36.05,34.2,12.3,0.072395
Gary,IN,40.7,0.613,-0.318,0.175,11.75,40.725,29.6,17.95,0.099515
Canton,OH,41.8,0.796,-0.285,0.203,17.48571429,43.97142857,24.64285714,13.91428571,0.095161429
Lorain,OH,39.6,0.714,-0.347,0.169,10.93333333,40.33333333,29.7,19.03333333,0.090303333
Cleveland,OH,38.2,0.715,-0.344,0.206,9.714285714,33.84285714,28.7,27.74285714,0.113677143
Parkersburg,WV,41.5,0.783,-0.258,0.201,13.2,44.38333333,27.55,14.9,0.065885
Zanesville,OH,41.2,0.807,-0.342,0.212,15.06,45.9,27.08,12,0.06239
Steubenville,OH,41,0.785,-0.257,0.194,10.73333333,43,29.13333333,17.13333333,0.09083
Wheeling,WV,45.4,0.775,-0.232,0.201,12.36666667,45.36666667,26.78333333,15.55,0.075555
Scioto,OH,38.3,0.8,-0.286,0.191,18.1,42.6,25.86,13.44,0.097204
Athens,OH,40.4,0.759,-0.238,0.193,15.525,40.95,26.65,16.875,0.0707325
Columbus,OH,37.7,0.797,-0.349,0.216,9.988888889,35.84444444,27.98888889,26.16666667,0.097544444
Mansfield,OH,40.4,0.784,-0.363,0.206,12.88,43.54,28.6,15,0.069558
State College,PA,47.5,0.727,-0.179,0.225,10.575,46.35,22.225,20.875,0.0788475
Altoona,PA,47.1,0.758,-0.217,0.227,11.85,48.65,22.675,16.875,0.0924275
Pittsburgh,PA,45.2,0.667,-0.247,0.209,9.633333333,41.4,24.96666667,24.02222222,0.099974444
Youngstown,OH,41.3,0.731,-0.283,0.195,11.34,43.84,25.9,18.92,0.0952
Erie,PA,43.7,0.699,-0.275,0.197,12.08571429,45.42857143,24.04285714,18.47142857,0.085245714
Roanoke,VA,39.6,0.816,-0.344,0.236,12.93333333,33.8,28.76666667,24.49166667,0.0782075
Elkins,WV,44.8,0.847,-0.209,0.216,15.7,48.375,20.375,15.525,0.0538175
Morgantown,WV,44,0.783,-0.257,0.216,13.91666667,40.76666667,24.31666667,21.03333333,0.06644
Buckhannon,WV,46.6,0.775,-0.219,0.17,14.6,49.05,21.15,15.2,0.08314
Beckley,WV,43.4,0.689,-0.237,0.175,17.6,42.1,24.725,15.6,0.093555
Summersville,WV,46.5,0.739,-0.138,0.186,21.625,44.175,21.275,12.95,0.115755
Charleston,WV,42.3,0.718,-0.257,0.183,18.91666667,43.1,23.48333333,14.45,0.087308333
Spencer,WV,47.1,0.674,-0.158,0.179,22.3,47.7,19.15,10.85,0.064285
Pikeville,KY,43.2,0.676,-0.222,0.176,26.04285714,38.31428571,25.04285714,10.57142857,0.09413
Huntington,KY,39.8,0.768,-0.245,0.195,17.1875,37.95,27.9,16.9625,0.0799125
Harrisonburg,VA,44.1,0.76,-0.292,0.201,18.56,38.08,22,21.34,0.085332
Staunton,VA,41.9,0.787,-0.282,0.207,15.62727273,35.99090909,25.27272727,23.09090909,0.048885
Hagerstown,PA,42.9,0.737,-0.309,0.19,13.95,40.76666667,25.46666667,19.78333333,0.07684
Cumberland,MD,43.7,0.792,-0.314,0.238,14.8,46.46,23.6,15.12,0.089804
Winchester,VA,41.7,0.798,-0.276,0.215,15.625,34.725,25.05,24.625,0.10988
