ACSSF ID050000000030     16035                                                                                                                                                    05000US16035                            Clearwater County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ACSSF ID050000000031     16037                                                                                                                                                    05000US16037                            Custer County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ACSSF ID050000000032     16039                                                                                                                                                    05000US16039                            Elmore County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ACSSF ID050000000033     16041                                                                                                                                                    05000US16041                            Franklin County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF ID050000000034     16043                                                                                                                                                    05000US16043                            Fremont County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF ID050000000035     16045                                                                                                                                                    05000US16045                            Gem County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACSSF ID050000000036     16047                                                                                                                                                    05000US16047                            Gooding County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF ID050000000037     16049                                                                                                                                                    05000US16049                            Idaho County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF ID050000000038     16051                                                                                                                                                    05000US16051                            Jefferson County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF ID050000000039     16053                                                                                                                                                    05000US16053                            Jerome County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ACSSF ID050000000040     16055                                                                                                                                                    05000US16055                            Kootenai County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF ID050000000041     16057                                                                                                                                                    05000US16057                            Latah County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF ID050000000042     16059                                                                                                                                                    05000US16059                            Lemhi County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF ID050000000043     16061                                                                                                                                                    05000US16061                            Lewis County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF ID050000000044     16063                                                                                                                                                    05000US16063                            Lincoln County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF ID050000000045     16065                                                                                                                                                    05000US16065                            Madison County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF ID050000000046     16067                                                                                                                                                    05000US16067                            Minidoka County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF ID050000000047     16069                                                                                                                                                    05000US16069                            Nez Perce County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ACSSF ID050000000048     16071                                                                                                                                                    05000US16071                            Oneida County, Idaho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
