ACSSF RI040000000001     44                                                                                                                                                       04000US44                               Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF RI040010000002     44                                                                                                                                U                      04001US44                               Rhode Island -- Urban                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF RI040430000003     44                                                                                                                                R                      04043US44                               Rhode Island -- Rural                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF RI040A00000004     44                                                                                                                                                       040A0US44                               Rhode Island -- In metropolitan or micropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF RI040C00000005     44                                                              1                                                                                        040C0US44                               Rhode Island -- In metropolitan statistical area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF RI040C10000006     44                                                              1                                                                  Y                     040C1US44                               Rhode Island -- In metropolitan statistical area -- in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF RI040C20000007     44                                                              1                                                                                        040C2US44                               Rhode Island -- In metropolitan statistical area -- not in principal city                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ACSSF RI060000000029     4400714140                                                                                                                                               06000US4400714140                       Central Falls city, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ACSSF RI060000000030     4400719180                                                                                                                                               06000US4400719180                       Cranston city, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF RI060000000031     4400720080                                                                                                                                               06000US4400720080                       Cumberland town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF RI060000000032     4400722960                                                                                                                                               06000US4400722960                       East Providence city, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ACSSF RI060000000033     4400727460                                                                                                                                               06000US4400727460                       Foster town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF RI060000000034     4400730340                                                                                                                                               06000US4400730340                       Glocester town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF RI060000000035     4400737720                                                                                                                                               06000US4400737720                       Johnston town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF RI060000000036     4400741500                                                                                                                                               06000US4400741500                       Lincoln town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ACSSF RI060000000037     4400751760                                                                                                                                               06000US4400751760                       North Providence town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF RI060000000038     4400752480                                                                                                                                               06000US4400752480                       North Smithfield town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ACSSF RI060000000039     4400754640                                                                                                                                               06000US4400754640                       Pawtucket city, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF RI060000000040     4400759000                                                                                                                                               06000US4400759000                       Providence city, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF RI060000000041     4400764220                                                                                                                                               06000US4400764220                       Scituate town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ACSSF RI060000000042     4400766200                                                                                                                                               06000US4400766200                       Smithfield town, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF RI060000000043     4400780780                                                                                                                                               06000US4400780780                       Woonsocket city, Providence County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ACSSF RI060000000044     4400914500                                                                                                                                               06000US4400914500                       Charlestown town, Washington County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACSSF RI060000000045     4400925300                                                                                                                                               06000US4400925300                       Exeter town, Washington County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ACSSF RI060000000046     4400935380                                                                                                                                               06000US4400935380                       Hopkinton town, Washington County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ACSSF RI060000000047     4400948340                                                                                                                                               06000US4400948340                       Narragansett town, Washington County, Rhode Island                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
